idx,id,repo,sha,file,line,rule_id,category,tier,repo_category,enclosing_class,enclosing_function,stratum,weight,label,mechanism,reason,verified,web_route,actenon_detected,evidence
0,agno:cookbook/05_agent_os/22_studio/registry_and_components.py:150:NET-EGRESS,agno-agi/agno,a4a7e319e9124a00c50f7815e4cea2bb3cae28e5,cookbook/05_agent_os/22_studio/registry_and_components.py,150,NET-EGRESS,network_egress,example,framework,,run_demo,agno|network_egress,72.5,NOT_AGENT_REACHABLE,,demo_script,site,False,False,agno cookbook AgentOS studio demo
1,agno:cookbook/12_context/24_multi_context_streaming.py:54:FILE-WRITE,agno-agi/agno,a4a7e319e9124a00c50f7815e4cea2bb3cae28e5,cookbook/12_context/24_multi_context_streaming.py,54,FILE-WRITE,file_mutation,example,framework,,,agno|file_mutation,30.0,NOT_AGENT_REACHABLE,,demo_script,site,False,False,"agno cookbook streaming demo, module level"
2,agno:libs/agno/agno/db/postgres/utils.py:122:DATA-DELETE-SQL,agno-agi/agno,a4a7e319e9124a00c50f7815e4cea2bb3cae28e5,libs/agno/agno/db/postgres/utils.py,122,DATA-DELETE-SQL,data_destruction,production,framework,,ais_table_available,agno|data_destruction,75.5,AMBIGUOUS,,unresolved_db_layer,site,False,False,"agno postgres utils ais_table_available; DB helper, no concrete agent path in repo"
3,agno:libs/agno/agno/db/surrealdb/surrealdb.py:583:NET-EGRESS,agno-agi/agno,a4a7e319e9124a00c50f7815e4cea2bb3cae28e5,libs/agno/agno/db/surrealdb/surrealdb.py,583,NET-EGRESS,network_egress,production,framework,SurrealDb,clear_memories,agno|network_egress,72.5,NOT_AGENT_REACHABLE,,web_route_only,site,True,False,agno SurrealDb.clear_memories reached only via router.delete chain
4,agno:libs/agno/agno/fs/db.py:416:DATA-DELETE-SQL,agno-agi/agno,a4a7e319e9124a00c50f7815e4cea2bb3cae28e5,libs/agno/agno/fs/db.py,416,DATA-DELETE-SQL,data_destruction,production,framework,DbFileSystem,move,agno|data_destruction,75.5,AMBIGUOUS,,unresolved_db_layer,site,False,False,"agno DbFileSystem.move; storage layer reachable from several callers, none an agent boundary in-repo"
5,agno:libs/agno/agno/os/interfaces/telegram/helpers.py:141:COMMUNICATION-SEND,agno-agi/agno,a4a7e319e9124a00c50f7815e4cea2bb3cae28e5,libs/agno/agno/os/interfaces/telegram/helpers.py,141,COMMUNICATION-SEND,communication,production,framework,,send_message,agno|communication,20.0,AMBIGUOUS,,framework_router,site,False,False,"agno AgentOS telegram interface helper sends agent output; entry is an inbound webhook, model controls the text but not the sink target"
6,agno:libs/agno/agno/tools/agentql.py:101:BROWSER-ACTION,agno-agi/agno,a4a7e319e9124a00c50f7815e4cea2bb3cae28e5,libs/agno/agno/tools/agentql.py,101,BROWSER-ACTION,browser_action,production,framework,AgentQLTools,custom_scrape_website,agno|browser_action,1.0,AGENT_REACHABLE,CALLBACK_REGISTRATION,,path,False,False,AgentQLTools(Toolkit); tools.append(self.custom_scrape_website) agentql.py:36; sink inside the registered method
7,agno:libs/agno/agno/tools/agentql.py:62:BROWSER-ACTION,agno-agi/agno,a4a7e319e9124a00c50f7815e4cea2bb3cae28e5,libs/agno/agno/tools/agentql.py,62,BROWSER-ACTION,browser_action,production,framework,AgentQLTools,scrape_website,agno|browser_action,1.0,AGENT_REACHABLE,CALLBACK_REGISTRATION,,path,False,False,AgentQLTools(Toolkit); tools.append(self.scrape_website) agentql.py:32; sink inside the registered method
8,agno:libs/agno/agno/tools/daytona.py:344:EXEC-CODE,agno-agi/agno,a4a7e319e9124a00c50f7815e4cea2bb3cae28e5,libs/agno/agno/tools/daytona.py,344,EXEC-CODE,code_execution,production,framework,DaytonaTools,create_file,agno|code_execution,11.0,AGENT_REACHABLE,CALLBACK_REGISTRATION,,path,False,False,DaytonaTools(Toolkit); self.create_file registered in tools list daytona.py:115; sink in create_file:318
9,agno:libs/agno/agno/tools/docker.py:192:EXEC-CONTAINER,agno-agi/agno,a4a7e319e9124a00c50f7815e4cea2bb3cae28e5,libs/agno/agno/tools/docker.py,192,EXEC-CONTAINER,code_execution,production,framework,DockerTools,start_container,agno|code_execution,11.0,AGENT_REACHABLE,CALLBACK_REGISTRATION,,path,False,False,DockerTools(Toolkit); self.start_container registered in tools list docker.py:82; sink in start_container:181
10,agno:libs/agno/agno/tools/telegram.py:129:COMMUNICATION-SEND,agno-agi/agno,a4a7e319e9124a00c50f7815e4cea2bb3cae28e5,libs/agno/agno/tools/telegram.py,129,COMMUNICATION-SEND,communication,production,framework,TelegramTools,send_message,agno|communication,20.0,AGENT_REACHABLE,CALLBACK_REGISTRATION,,path,False,False,TelegramTools(Toolkit); tools.append(self.send_message) telegram.py:82; sink in send_message:118
11,agno:libs/agno/agno/tools/workspace.py:813:EXEC-SHELL,agno-agi/agno,a4a7e319e9124a00c50f7815e4cea2bb3cae28e5,libs/agno/agno/tools/workspace.py,813,EXEC-SHELL,shell_execution,production,framework,Workspace,run_command,agno|shell_execution,9.0,AGENT_REACHABLE,DYNAMIC_DISPATCH,,path,False,False,"Workspace(Toolkit) workspace.py:187 registers by NAME: alias map ""shell""->""run_command"" :250, sync_tools=[getattr(self,name) for name in registered] :287, super().__init__(tools=sync_tools) :303; sink in run_command:813"
